Name	Category	ID	Subname	Description	Link	Image
A Dollar	I	18	$$$	Gives Isaac 99 coins. Can be found multiple times in a single playthrough.	https://bindingofisaacrebirth.gamepedia.com/A_Dollar	../assets/images/items/18.png
Boom!	I	19	10 bombs	Grants 10 bombs.	https://bindingofisaacrebirth.gamepedia.com/Boom!	../assets/images/items/19.png
Transcendence	I	20	We all float down here...	Grants flight.	https://bindingofisaacrebirth.gamepedia.com/Transcendence	../assets/images/items/20.png
The Compass	I	21	The end is near	Reveals all special rooms (except secret rooms of any kind).	https://bindingofisaacrebirth.gamepedia.com/The_Compass	../assets/images/items/21.png
Lunch	I	22	HP Up	Adds 1 heart container.	https://bindingofisaacrebirth.gamepedia.com/Lunch	../assets/images/items/22.png
Dinner	I	23	HP Up	Adds 1 heart container.	https://bindingofisaacrebirth.gamepedia.com/Dinner	../assets/images/items/23.png
Dessert	I	24	HP Up	Grants Isaac one full red heart container.	https://bindingofisaacrebirth.gamepedia.com/Dessert	../assets/images/items/24.png
Breakfast	I	25	HP up	Grants Isaac one full red heart container.	https://bindingofisaacrebirth.gamepedia.com/Breakfast	../assets/images/items/25.png
Rotten Meat	I	26	HP up	Adds one heart container.	https://bindingofisaacrebirth.gamepedia.com/Rotten_Meat	../assets/images/items/26.png
Wooden Spoon	I	27	Speed up	Increases speed by 0.3.	https://bindingofisaacrebirth.gamepedia.com/Wooden_Spoon	../assets/images/items/27.png
The Belt	I	28	Speed up	Increases speed by 0.3.	https://bindingofisaacrebirth.gamepedia.com/The_Belt	../assets/images/items/28.png
Mom's Underwear	I	29	Range up	Increases range.	https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Underwear	../assets/images/items/29.png
Mom's Heels	I	30	Range up	Increases range.	https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Heels	../assets/images/items/30.png
Mom's Lipstick	I	31	Range up	Increases range and shot height.	https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Lipstick	../assets/images/items/31.png
Wire Coat Hanger	I	32	Tears up	Increases Tears by 0.7.	https://bindingofisaacrebirth.gamepedia.com/Wire_Coat_Hanger	../assets/images/items/32.png
The Bible	I	33	Temporary Flight	Upon activation, Isaac gains flight, allowing him to pass over all obstacles in the current room. Instantly kills Mom, Mom's Heart, and It Lives when activated, but will kill Isaac when activated while fighting Satan.	https://bindingofisaacrebirth.gamepedia.com/The_Bible	../assets/images/items/33.png
The Book of Belial	I	34	Temporary DMG up	Upon use increases damage by 2 for the current room and by a further +50% if the character also has the Blood of the Martyr.	https://bindingofisaacrebirth.gamepedia.com/The_Book_of_Belial	../assets/images/items/34.png
The Necronomicon	I	35	Mass room damage	Damages all enemies in the room significantly.	https://bindingofisaacrebirth.gamepedia.com/The_Necronomicon	../assets/images/items/35.png
The Poop	I	36	Plop!	Spawns a pile of poop where the character is standing and knocks nearby monsters back. May yield pickups like regular poop.	https://bindingofisaacrebirth.gamepedia.com/The_Poop	../assets/images/items/36.png
Mr. Boom	I	37	Reusable bomb buddy	Drops a large bomb.	https://bindingofisaacrebirth.gamepedia.com/Mr._Boom	../assets/images/items/37.png
Tammy's Head	I	38	Reusable tear burst	Shoots 10 tears in a circle around Isaac, which retain the damage, shot speed, and special effects (such as poison) of Isaac's tears.	https://bindingofisaacrebirth.gamepedia.com/Tammy%27s_Head	../assets/images/items/38.png
Mom's Bra	I	39	Mass Fear	Upon use, petrifies all enemies in the current room for approximately 4 seconds.	https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Bra	../assets/images/items/39.png
Kamikaze!	I	40	Become the bomb!	Creates an explosion in the same area as Isaac, dealing half a heart of damage to him and also damaging all enemies caught in the blast radius.	https://bindingofisaacrebirth.gamepedia.com/Kamikaze!	../assets/images/items/40.png
Mom's Pad	I	41	Gross...	Upon use, inflicts fear to all enemies in the room for 5 seconds.	https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Pad	../assets/images/items/41.png
Bob's Rotten Head	I	42	Reusable ranged bomb	Upon use, Isaac holds a poison bomb which can be thrown towards any of the four cardinal points and explodes on impact.	https://bindingofisaacrebirth.gamepedia.com/Bob%27s_Rotten_Head	../assets/images/items/42.png
Teleport	I	44	Teleport!	Teleports you to a random room on the level.	https://bindingofisaacrebirth.gamepedia.com/Teleport	../assets/images/items/44.png
Yum Heart	I	45	Reusable Regeneration	Restores 1 whole red heart.	https://bindingofisaacrebirth.gamepedia.com/Yum_Heart	../assets/images/items/45.png
Lucky Foot	I	46	Luck up	+1 Luck. Increases chance of winning Shell Game Beggar. (Independent of luck stat)	https://bindingofisaacrebirth.gamepedia.com/Lucky_Foot	../assets/images/items/46.png
Doctor's Remote	I	47	Reusable Air Strike	Sets a big red target on the ground (similar to the Epic Fetus item) which can be controlled with tear controls. After 6 seconds or by pressing space again, a huge explosive missile hits it, which damages all enemies caught in its blast radius.	https://bindingofisaacrebirth.gamepedia.com/Doctor%27s_Remote	../assets/images/items/47.png
Cupid's Arrow	I	48	Piercing shots	Grants Isaac piercing tears that travel through enemies (but not obstacles) instead of breaking on impact with them.	https://bindingofisaacrebirth.gamepedia.com/Cupid%27s_Arrow	../assets/images/items/48.png
Shoop Da Whoop!	I	49	BLLLARRRRGGG!	Fires a laser from Isaac's mouth.	https://bindingofisaacrebirth.gamepedia.com/Shoop_Da_Whoop!	../assets/images/items/49.png
Steven	I	50	DMG up	Increases Damage by 1.	https://bindingofisaacrebirth.gamepedia.com/Steven_(Item)	../assets/images/items/50.png
Pentagram	I	51	DMG up	Increases damage and increases the chance for a Devil or Angel Room to appear.	https://bindingofisaacrebirth.gamepedia.com/Pentagram	../assets/images/items/51.png
Dr. Fetus	I	52	???	Tears are replaced by bombs that benefit from bomb-enhancing effects and slide for a fixed time after being fired.	https://bindingofisaacrebirth.gamepedia.com/Dr._Fetus	../assets/images/items/52.png
Magneto	I	53	Item snatcher	Pulls pickups towards Isaac.	https://bindingofisaacrebirth.gamepedia.com/Magneto	../assets/images/items/53.png
Treasure Map	I	54	Full visible map	Reveals all rooms for every floor. However, it does not reveal icons or secret rooms.	https://bindingofisaacrebirth.gamepedia.com/Treasure_Map	../assets/images/items/54.png
Mom's Eye	I	55	Eye in the back of your head	Allows Isaac to fire tears from the back of his head.	https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Eye	../assets/images/items/55.png
Lemon Mishap	I	56	Oops...	Creates a small yellow pool of creep, which damages enemies that cross it.	https://bindingofisaacrebirth.gamepedia.com/Lemon_Mishap	../assets/images/items/56.png
Distant Admiration	I	57	Attack fly	A red attack fly circles further out than the Halo of Flies / Pretty Flies, but closer than Forever Alone. Deals more damage than Forever Alone.	https://bindingofisaacrebirth.gamepedia.com/Distant_Admiration	../assets/images/items/57.png
Book of Shadows	I	58	Temporary Invincibility	Upon use, creates a protective shield nullifying all types of damage for 10 seconds.	https://bindingofisaacrebirth.gamepedia.com/Book_of_Shadows	../assets/images/items/58.png
The Ladder	I	60	Building bridges	Allows Isaac to walk across gaps one square across by automatically placing a ladder between the two walkable sections.	https://bindingofisaacrebirth.gamepedia.com/The_Ladder	../assets/images/items/60.png
Charm of the Vampire	I	62	Kills heal	Heals the character for half of a red heart for every 13 monsters killed.	https://bindingofisaacrebirth.gamepedia.com/Charm_of_the_Vampire	../assets/images/items/62.png
The Battery	I	63	Stores energy	"Activated Items can be ""overcharged"" to allow for an additional use."	https://bindingofisaacrebirth.gamepedia.com/The_Battery	../assets/images/items/63.png
Steam Sale	I	64	50% off	Reduces all Shop prices by 50%, rounded down to 7 coins for an item, rounded up to 2-3 coins for a pickup.	https://bindingofisaacrebirth.gamepedia.com/Steam_Sale	../assets/images/items/64.png
Anarchist Cookbook	I	65	Summon bombs	Spawns six troll bombs around the room.	https://bindingofisaacrebirth.gamepedia.com/Anarchist_Cookbook	../assets/images/items/65.png
The Hourglass	I	66	Temporary enemy slowdown	Upon activation, enemies and their projectiles are slowed down for a short duration.	https://bindingofisaacrebirth.gamepedia.com/The_Hourglass	../assets/images/items/66.png
Sister Maggy	I	67	Friends 'till the end	A familiar that follows Isaac around shooting blood tears.	https://bindingofisaacrebirth.gamepedia.com/Sister_Maggy	../assets/images/items/67.png
Technology	I	68	Laser tears	Replaces tears with a piercing laser with unlimited range.	https://bindingofisaacrebirth.gamepedia.com/Technology	../assets/images/items/68.png
Chocolate Milk	I	69	Charge shots	Grants charged tears that deal greater damage when fully charged.	https://bindingofisaacrebirth.gamepedia.com/Chocolate_Milk	../assets/images/items/69.png
Growth Hormones	I	70	Speed + DMG up	Increases damage by 1 and speed by 0.4.	https://bindingofisaacrebirth.gamepedia.com/Growth_Hormones	../assets/images/items/70.png
Mini Mush	I	71	Speed + range up	Increases Speed and Shot Height and decreases Isaac's size, but lowers Range.	https://bindingofisaacrebirth.gamepedia.com/Mini_Mush	../assets/images/items/71.png
Rosary	I	72	Faith up	Adds 3 Soul Hearts and increases the chance for The Bible to appear in any item pool.	https://bindingofisaacrebirth.gamepedia.com/Rosary	../assets/images/items/72.png
Cube of Meat	I	73	Gotta meat 'em all!	Orbiting familiar that blocks enemy shots and deals damage to enemies. If collected while already having one, makes the familiar evolve. Only drops from Horsemen. Similar to Ball of Bandages.	https://bindingofisaacrebirth.gamepedia.com/Cube_of_Meat	../assets/images/items/73.png
A Quarter	I	74	+25 coins	Adds 25 to Isaac's coin count, capping at 99.	https://bindingofisaacrebirth.gamepedia.com/A_Quarter	../assets/images/items/74.png
PHD	I	75	Better pills	Converts all bad pills into good pills, spawns one pill pickup and restores health. Identifies all pills upon pickup.	https://bindingofisaacrebirth.gamepedia.com/PHD	../assets/images/items/75.png
X-Ray Vision	I	76	I've seen everything	Reveals and opens all Secret Room and Super Secret Room entrances.	https://bindingofisaacrebirth.gamepedia.com/X-Ray_Vision	../assets/images/items/76.png
My Little Unicorn	I	77	Temporary badass	Upon use, grants invulnerability and increased speed for five seconds, removing the ability to shoot tears and replacing it with the ability to deal contact damage to enemies.	https://bindingofisaacrebirth.gamepedia.com/My_Little_Unicorn	../assets/images/items/77.png
Book of Revelations	I	78	Reusable soul protection	Adds 1 soul heart, increases the chance for a Devil or Angel Room to appear, and increases the chance for the next boss to be a Horseman (except on XL floors and floors with fixed bosses such as Mom).	https://bindingofisaacrebirth.gamepedia.com/Book_of_Revelations	../assets/images/items/78.png
The Mark	I	79	DMG up	Increases Damage and Speed, plus adds one Soul Heart.	https://bindingofisaacrebirth.gamepedia.com/The_Mark	../assets/images/items/79.png
The Pact	I	80	DMG + Tears UP	Increases damage by 0.5, tears by 0.7 and grants two soul hearts upon pickup.	https://bindingofisaacrebirth.gamepedia.com/The_Pact	../assets/images/items/80.png
Dead Cat	I	81	9 lives	Sets the amount of red heart containers to 1, but gives Isaac 9 extra lives. After dying, Isaac is teleported to the last safe room. New heart containers can be obtained after picking up this item, but after each death, the number of heart containers is set to 1 again.	https://bindingofisaacrebirth.gamepedia.com/Dead_Cat	../assets/images/items/81.png
Lord of the Pit	I	82	Demon wings	Grants flight and increases speed.	https://bindingofisaacrebirth.gamepedia.com/Lord_of_the_Pit	../assets/images/items/82.png
The Nail	I	83	Temporary demon form	Adds one soul heart and allows the breaking of rocks and damaging enemies by simply walking over them. Increases damage and decreases speed. All effects except for the Soul Heart wear off upon leaving the room.	https://bindingofisaacrebirth.gamepedia.com/The_Nail	../assets/images/items/83.png
We Need to Go Deeper!	I	84	Reusable level skip	Creates a trapdoor to go to the next floor. If used in The Womb, it will create a trapdoor to Sheol, even if the player hasn't unlocked it.	https://bindingofisaacrebirth.gamepedia.com/We_Need_to_Go_Deeper!	../assets/images/items/84.png
Deck of Cards	I	85	Reusable Card Generator	Gives Isaac a random tarot card.	https://bindingofisaacrebirth.gamepedia.com/Deck_of_Cards	../assets/images/items/85.png
Monstro's Tooth	I	86	Summon Monstro	Monstro jumps onto a random enemy, doing area damage. Can damage/kill the player if summoned in an room without enemies.	https://bindingofisaacrebirth.gamepedia.com/Monstro%27s_Tooth	../assets/images/items/86.png
Loki's Horns	I	87	Cross Tears	Gives a random chance for projectiles to fire in all 4 cardinal directions.	https://bindingofisaacrebirth.gamepedia.com/Loki%27s_Horns	../assets/images/items/87.png
Little Chubby	I	88	Attack Buddy	A familiar that charges forward and deals touch damage to any enemies in its path.	https://bindingofisaacrebirth.gamepedia.com/Little_Chubby	../assets/images/items/88.png
Spider Bite	I	89	Slow effect	Adds a chance to shoot slowing tears, reducing speed of enemy movement and any projectile fired by them.	https://bindingofisaacrebirth.gamepedia.com/Spider_Bite	../assets/images/items/89.png
The Small Rock	I	90	DMG up	Increases damage by 1, increases tears by 0.2, and decreases speed by 0.1.	https://bindingofisaacrebirth.gamepedia.com/The_Small_Rock	../assets/images/items/90.png
Spelunker Hat	I	91	See-through doors	Reveals type of adjacent rooms, including location for secret rooms and super secret rooms.	https://bindingofisaacrebirth.gamepedia.com/Spelunker_Hat	../assets/images/items/91.png
Super Bandage	I	92	+2 hearts	Grants one Heart Container and gives 2 Soul Hearts.	https://bindingofisaacrebirth.gamepedia.com/Super_Bandage	../assets/images/items/92.png
The Gamekid	I	93	Temporary Man-Pac	Upon use, turns the character into a into a Pac-Man-like creature for 5 seconds, granting invulnerability, inflicting fear on all enemies, and replenishing half a red heart container for every two enemies killed.	https://bindingofisaacrebirth.gamepedia.com/The_Gamekid	../assets/images/items/93.png
Sack of Pennies	I	94	Gives money	Isaac is followed by a small bag that drops a coin every 2 rooms.	https://bindingofisaacrebirth.gamepedia.com/Sack_of_Pennies	../assets/images/items/94.png
Robo-Baby	I	95	Friends 'till the bbbbzzzt	Follows Isaac around, shooting enemies with an eye laser similar to Technology.	https://bindingofisaacrebirth.gamepedia.com/Robo-Baby	../assets/images/items/95.png
Little C.H.A.D.	I	96	Gives kisses	A familiar who will drop a half red heart every 3 rooms.	https://bindingofisaacrebirth.gamepedia.com/Little_C.H.A.D.	../assets/images/items/96.png
The Book of Sin	I	97	Reusable Item Generator	Spawns a random pickup, pill, card, or trinket.	https://bindingofisaacrebirth.gamepedia.com/The_Book_of_Sin	../assets/images/items/97.png
The Relic	I	98	Soul generator	Isaac is followed by a small blue cross that will drop a Soul Heart every 5-6 rooms.	https://bindingofisaacrebirth.gamepedia.com/The_Relic	../assets/images/items/98.png
Little Gish	I	99	Sticky friend	Spawns a familiar that follows Isaac around and fires slowing tears, impeding enemies' speed.	https://bindingofisaacrebirth.gamepedia.com/Little_Gish	../assets/images/items/99.png
Little Steven	I	100	Psychic friend	Spawns a familiar that follows Isaac around and fires homing tears.	https://bindingofisaacrebirth.gamepedia.com/Little_Steven	../assets/images/items/100.png
The Halo	I	101	All stats up	Grants one Heart Container, +0.3 Damage, +0.2 Tears, +0.25 Range, +0.3 Speed, and +0.5 Tear Height.	https://bindingofisaacrebirth.gamepedia.com/The_Halo	../assets/images/items/101.png
Mom's Bottle of Pills	I	102	Reusable pill generator	Gives Isaac a random pill, and will cause him to drop any held Q-slot item (If any). The player will only receive six different pill types in one playthrough.	https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Bottle_of_Pills	../assets/images/items/102.png
The Common Cold	I	103	Poison Damage	Adds a chance to shoot poison tears, dealing damage over time when inflicted.	https://bindingofisaacrebirth.gamepedia.com/The_Common_Cold	../assets/images/items/103.png
The Parasite	I	104	Split Shot	Isaac's tears split in two when they hit something.	https://bindingofisaacrebirth.gamepedia.com/The_Parasite	../assets/images/items/104.png
The D6	I	105	Reroll Your Destiny	Allows Isaac to re-roll collectible items in the current room into other items, depending on the current room's Item Pool.	https://bindingofisaacrebirth.gamepedia.com/The_D6	../assets/images/items/105.png
Mr. Mega	I	106	Blast damage	Gives Isaac 5 bombs, and makes all dropped bombs larger, which have an increased blast radius and increased damage.	https://bindingofisaacrebirth.gamepedia.com/Mr._Mega	../assets/images/items/106.png
The Pinking Shears	I	107	Cut and Run	Separates Isaac's head and body for the current room. Isaac's head, which now has flight, will be under the player's control, while his body will seek out enemies to attack by contact damage.	https://bindingofisaacrebirth.gamepedia.com/The_Pinking_Shears	../assets/images/items/107.png
The Wafer	I	108	Damage resistance	All sources of damage that would cause more than one half heart of damage are reduced to one half heart instead.	https://bindingofisaacrebirth.gamepedia.com/The_Wafer	../assets/images/items/108.png
Money = Power	I	109	$$$ = DMG	Increases damage by 0.04 for every coin Isaac has, up to +3.96 damage at 99 coins.	https://bindingofisaacrebirth.gamepedia.com/Money_%3D_Power	../assets/images/items/109.png
Mom's Contacts	I	110	Freeze effect	Adds a chance to shoot petrifying tears, which stop enemies in place and prevent them from moving or attacking. Range up.	https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Contacts	../assets/images/items/110.png
The Bean	I	111	Toot on command	Isaac releases bad gas, poisoning any enemy in close vicinity.	https://bindingofisaacrebirth.gamepedia.com/The_Bean	../assets/images/items/111.png
Guardian Angel	I	112	Extra protection	Spawns an orbital familiar that blocks enemy projectiles, deals contact damage to enemies, and increases the speed of all orbital familiars.	https://bindingofisaacrebirth.gamepedia.com/Guardian_Angel	../assets/images/items/112.png
Demon Baby	I	113	Auto-turret friend	Follows Isaac and automatically fires at enemies in its reach.	https://bindingofisaacrebirth.gamepedia.com/Demon_Baby	../assets/images/items/113.png
Mom's Knife	I	114	Stab stab stab	Isaac's tears are replaced by a knife that pierces enemies, can travel through obstacles, and can hurt enemies while Isaac is holding it. Holding down the fire button before firing increases its range and power.	https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Knife	../assets/images/items/114.png
Ouija Board	I	115	Spectral tears	Grants spectral tears that travel through obstacles (but not enemies) instead of breaking on impact with them.	https://bindingofisaacrebirth.gamepedia.com/Ouija_Board	../assets/images/items/115.png
9 Volt	I	116	Quicker charge	Reduces the charge of any Activated Items by 1. Any 1 charge items instead have timed recharges.	https://bindingofisaacrebirth.gamepedia.com/9_Volt	../assets/images/items/116.png
Dead Bird	I	117	Protective buddy	Spawns a flying familiar for the current room that chases enemies whenever Isaac takes damage.	https://bindingofisaacrebirth.gamepedia.com/Dead_Bird	../assets/images/items/117.png
Brimstone	I	118	Blood laser barrage	Tears are replaced by a laser beam that pierces through all enemies and obstacles in its path and deals high damage. Can only be fired after a short charge-up period.	https://bindingofisaacrebirth.gamepedia.com/Brimstone	../assets/images/items/118.png
Blood Bag	I	119	HP up	Grants one red heart container, restores 5 red hearts, and increases speed by 0.3.	https://bindingofisaacrebirth.gamepedia.com/Blood_Bag	../assets/images/items/119.png
Odd Mushroom	I	120	Fire rate up	+1.7 tears, +0.3 speed, reduces damage.	https://bindingofisaacrebirth.gamepedia.com/Odd_Mushroom_(Thin)	../assets/images/items/120.png
Odd Mushroom	I	121	DMG up	Grants an empty heart container. Increases damage, range and shot height while reducing speed.	https://bindingofisaacrebirth.gamepedia.com/Odd_Mushroom_(Large)	../assets/images/items/121.png
Whore of Babylon	I	122	Curse up	Increases damage and speed whenever Isaac has half a red heart or less (one red heart for Eve), ignoring any soul or black hearts.	https://bindingofisaacrebirth.gamepedia.com/Whore_of_Babylon	../assets/images/items/122.png
Monster Manual	I	123	Temporary buddy generator	Summons a random familiar for the current room. Can summon familiars not yet unlocked.	https://bindingofisaacrebirth.gamepedia.com/Monster_Manual	../assets/images/items/123.png
Dead Sea Scrolls	I	124	It's a mystery	Triggers the effect of a random activated item from a list of possible options (not every activated item is included).	https://bindingofisaacrebirth.gamepedia.com/Dead_Sea_Scrolls	../assets/images/items/124.png
Bobby-Bomb	I	125	Homing bombs!	Gives Isaac 5 Bombs, and causes all dropped bombs to home towards the closest enemy.	https://bindingofisaacrebirth.gamepedia.com/Bobby-Bomb	../assets/images/items/125.png
Razor Blade	I	126	Feel my pain	Upon use, deals one heart of damage to Isaac and grants +1.2 damage for the current room.	https://bindingofisaacrebirth.gamepedia.com/Razor_Blade	../assets/images/items/126.png
Forget Me Now	I	127	I don't remember	When activated, the level ends and is freshly regenerated with new rooms, monsters, and items. Disappears after use.	https://bindingofisaacrebirth.gamepedia.com/Forget_Me_Now	../assets/images/items/127.png
Forever Alone	I	128	Attack fly	Spawns a blue attack fly that orbits a long distance from Isaac.	https://bindingofisaacrebirth.gamepedia.com/Forever_Alone	../assets/images/items/128.png
Bucket of Lard	I	129	HP up	Grants two empty heart containers and heals Isaac by half a heart, but decreases speed by 0.2.	https://bindingofisaacrebirth.gamepedia.com/Bucket_of_Lard	../assets/images/items/129.png
A Pony	I	130	Flight + Dash Attack	Passively grants flight and increased speed. Upon use, Isaac charges in the direction the pony is facing, becoming invulnerable during the charge and damaging enemies.	https://bindingofisaacrebirth.gamepedia.com/A_Pony	../assets/images/items/130.png
Bomb Bag	I	131	Gives bombs	Isaac is followed by a small bag that drops a Bomb, 1+1 Free, or a Troll Bomb every 3 rooms.	https://bindingofisaacrebirth.gamepedia.com/Bomb_Bag	../assets/images/items/131.png
A Lump of Coal	I	132	My Xmas Present	The more distance tears travel, the more damage they will do.	https://bindingofisaacrebirth.gamepedia.com/A_Lump_of_Coal	../assets/images/items/132.png
Guppy's Paw	I	133	Soul converter	Removes one red heart container in exchange for gaining 3 Soul Hearts.	https://bindingofisaacrebirth.gamepedia.com/Guppy%27s_Paw	../assets/images/items/133.png
Guppy's Tail	I	134	Cursed?	Increases chance of finding gold chests and normal chests, but reduces chance of finding pickups.	https://bindingofisaacrebirth.gamepedia.com/Guppy%27s_Tail	../assets/images/items/134.png
IV Bag	I	135	Portable blood bank	Upon activation, Isaac loses a half-heart (one whole heart in The Womb onwards) for a random amount of coins, similar to the blood donation machine.	https://bindingofisaacrebirth.gamepedia.com/IV_Bag	../assets/images/items/135.png
Best Friend	I	136	Friends 'till the end	Deploys a decoy Isaac that eventually explodes with an increased blast radius.	https://bindingofisaacrebirth.gamepedia.com/Best_Friend	../assets/images/items/136.png
Remote Detonator	I	137	Remote bomb detonation	Bombs you place explode only when you use this item. Gives 5 bombs.	https://bindingofisaacrebirth.gamepedia.com/Remote_Detonator	../assets/images/items/137.png
Stigmata	I	138	DMG + HP up	Increases damage, and adds 1 heart container.	https://bindingofisaacrebirth.gamepedia.com/Stigmata	../assets/images/items/138.png
Mom's Purse	I	139	More trinket room	Allows Isaac to hold 1 additional trinket.	https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Purse	../assets/images/items/139.png
Bob's Curse	I	140	+5 poison bombs	Gives 5 bombs and grants all bombs poison effect.	https://bindingofisaacrebirth.gamepedia.com/Bob%27s_Curse	../assets/images/items/140.png
Pageant Boy	I	141	Ultimate grand supreme	Spawns several coins around Isaac.	https://bindingofisaacrebirth.gamepedia.com/Pageant_Boy	../assets/images/items/141.png
Scapular	I	142	You have been blessed	Once per room, when Isaac is reduced to his last half red Heart, the aura around his head temporarily vanishes and he is granted one Soul Heart.	https://bindingofisaacrebirth.gamepedia.com/Scapular	../assets/images/items/142.png
Speed Ball	I	143	Speed + shot speed up	Increases speed by 0.3 and shot speed by 20%.	https://bindingofisaacrebirth.gamepedia.com/Speed_Ball	../assets/images/items/143.png
Bum Friend	I	144	He's greedy	A portable beggar who follows Isaac, picks up coins for himself, and occasionally drops a pickup after collecting a coin. Does not spawn collectibles.	https://bindingofisaacrebirth.gamepedia.com/Bum_Friend	../assets/images/items/144.png
Guppy's Head	I	145	Reusable fly hive	Spawns 2-4 blue flies to damage enemies.	https://bindingofisaacrebirth.gamepedia.com/Guppy%27s_Head	../assets/images/items/145.png
Prayer Card	I	146	Reusable eternity	Grants an eternal heart per use.	https://bindingofisaacrebirth.gamepedia.com/Prayer_Card	../assets/images/items/146.png
Notched Axe	I	147	Rocks don't stand a chance	Isaac holds the axe above his head for as long as the spacebar button is held (or until he leaves the room). While holding the axe, Isaac can break any rock he touches, but cannot attack or pick up other items.	https://bindingofisaacrebirth.gamepedia.com/Notched_Axe	../assets/images/items/147.png
Infestation	I	148	They grow inside	1-3 blue flies randomly spawn every time Isaac gets hit.	https://bindingofisaacrebirth.gamepedia.com/Infestation	../assets/images/items/148.png
Ipecac	I	149	Explosive shots	Replaces tears with explosive and poisoning projectiles fired in an arc from the mouth.	https://bindingofisaacrebirth.gamepedia.com/Ipecac	../assets/images/items/149.png
Tough Love	I	150	Tooth shot	Adds a chance to shoot a tooth instead of a tear, which deals greater damage than regular tears.	https://bindingofisaacrebirth.gamepedia.com/Tough_Love	../assets/images/items/150.png
The Mulligan	I	151	They grow inside	Tears have a 1/6 chance of spawning allied blue flies when they hit an enemy.	https://bindingofisaacrebirth.gamepedia.com/The_Mulligan	../assets/images/items/151.png
Technology 2	I	152	Laser	Decreases damage and replaces right eye tears with a unlimited range, piercing laser which fires continuously.	https://bindingofisaacrebirth.gamepedia.com/Technology_2	../assets/images/items/152.png
Mutant Spider	I	153	Quad shot	Grants quadruple shot but decreases tears.	https://bindingofisaacrebirth.gamepedia.com/Mutant_Spider	../assets/images/items/153.png
Chemical Peel	I	154	DMG up	Tears fired from left eye do increased damage.	https://bindingofisaacrebirth.gamepedia.com/Chemical_Peel	../assets/images/items/154.png
