Name,ID,Subname,Description,Link,Image
Lemon Mishap,56,Oops...,"Creates a small yellow pool of creep, which damages enemies that cross it.",https://bindingofisaacrebirth.gamepedia.com/Lemon_Mishap,../assets/images/56.png
Distant Admiration,57,Attack fly,"A red attack fly circles further out than the Halo of Flies / Pretty Flies, but closer than Forever Alone. Deals more damage than Forever Alone.",https://bindingofisaacrebirth.gamepedia.com/Distant_Admiration,../assets/images/57.png
Book of Shadows,58,Temporary Invincibility,"Upon use, creates a protective shield nullifying all types of damage for 10 seconds.",https://bindingofisaacrebirth.gamepedia.com/Book_of_Shadows,../assets/images/58.png
The Ladder,60,Building bridges,Allows Isaac to walk across gaps one square across by automatically placing a ladder between the two walkable sections.,https://bindingofisaacrebirth.gamepedia.com/The_Ladder,../assets/images/60.png
Charm of the Vampire,62,Kills heal,Heals the character for half of a red heart for every 13 monsters killed.,https://bindingofisaacrebirth.gamepedia.com/Charm_of_the_Vampire,../assets/images/62.png
The Battery,63,Stores energy,"Activated Items can be ""overcharged"" to allow for an additional use.",https://bindingofisaacrebirth.gamepedia.com/The_Battery,../assets/images/63.png
Steam Sale,64,50% off,"Reduces all Shop prices by 50%, rounded down to 7 coins for an item, rounded up to 2-3 coins for a pickup.",https://bindingofisaacrebirth.gamepedia.com/Steam_Sale,../assets/images/64.png
Anarchist Cookbook,65,Summon bombs,Spawns six troll bombs around the room.,https://bindingofisaacrebirth.gamepedia.com/Anarchist_Cookbook,../assets/images/65.png
The Hourglass,66,Temporary enemy slowdown,"Upon activation, enemies and their projectiles are slowed down for a short duration.",https://bindingofisaacrebirth.gamepedia.com/The_Hourglass,../assets/images/66.png
Sister Maggy,67,Friends 'till the end,A familiar that follows Isaac around shooting blood tears.,https://bindingofisaacrebirth.gamepedia.com/Sister_Maggy,../assets/images/67.png
Technology,68,Laser tears,Replaces tears with a piercing laser with unlimited range.,https://bindingofisaacrebirth.gamepedia.com/Technology,../assets/images/68.png
Chocolate Milk,69,Charge shots,Grants charged tears that deal greater damage when fully charged.,https://bindingofisaacrebirth.gamepedia.com/Chocolate_Milk,../assets/images/69.png
Growth Hormones,70,Speed + DMG up,Increases damage by 1 and speed by 0.4.,https://bindingofisaacrebirth.gamepedia.com/Growth_Hormones,../assets/images/70.png
Mini Mush,71,Speed + range up,"Increases Speed and Shot Height and decreases Isaac's size, but lowers Range.",https://bindingofisaacrebirth.gamepedia.com/Mini_Mush,../assets/images/71.png
Rosary,72,Faith up,Adds 3 Soul Hearts and increases the chance for The Bible to appear in any item pool.,https://bindingofisaacrebirth.gamepedia.com/Rosary,../assets/images/72.png
Cube of Meat,73,Gotta meat 'em all!,"Orbiting familiar that blocks enemy shots and deals damage to enemies. If collected while already having one, makes the familiar evolve. Only drops from Horsemen. Similar to Ball of Bandages.",https://bindingofisaacrebirth.gamepedia.com/Cube_of_Meat,../assets/images/73.png
A Quarter,74,+25 coins,"Adds 25 to Isaac's coin count, capping at 99.",https://bindingofisaacrebirth.gamepedia.com/A_Quarter,../assets/images/74.png
PHD,75,Better pills,"Converts all bad pills into good pills, spawns one pill pickup and restores health. Identifies all pills upon pickup.",https://bindingofisaacrebirth.gamepedia.com/PHD,../assets/images/75.png
X-Ray Vision,76,I've seen everything,Reveals and opens all Secret Room and Super Secret Room entrances.,https://bindingofisaacrebirth.gamepedia.com/X-Ray_Vision,../assets/images/76.png
My Little Unicorn,77,Temporary badass,"Upon use, grants invulnerability and increased speed for five seconds, removing the ability to shoot tears and replacing it with the ability to deal contact damage to enemies.",https://bindingofisaacrebirth.gamepedia.com/My_Little_Unicorn,../assets/images/77.png
Book of Revelations,78,Reusable soul protection,"Adds 1 soul heart, increases the chance for a Devil or Angel Room to appear, and increases the chance for the next boss to be a Horseman (except on XL floors and floors with fixed bosses such as Mom).",https://bindingofisaacrebirth.gamepedia.com/Book_of_Revelations,../assets/images/78.png
The Mark,79,DMG up,"Increases Damage and Speed, plus adds one Soul Heart.",https://bindingofisaacrebirth.gamepedia.com/The_Mark,../assets/images/79.png
The Pact,80,DMG + Tears UP,"Increases damage by 0.5, tears by 0.7 and grants two soul hearts upon pickup.",https://bindingofisaacrebirth.gamepedia.com/The_Pact,../assets/images/80.png
Dead Cat,81,9 lives,"Sets the amount of red heart containers to 1, but gives Isaac 9 extra lives. After dying, Isaac is teleported to the last safe room. New heart containers can be obtained after picking up this item, but after each death, the number of heart containers is set to 1 again.",https://bindingofisaacrebirth.gamepedia.com/Dead_Cat,../assets/images/81.png
Lord of the Pit,82,Demon wings,Grants flight and increases speed.,https://bindingofisaacrebirth.gamepedia.com/Lord_of_the_Pit,../assets/images/82.png
The Nail,83,Temporary demon form,Adds one soul heart and allows the breaking of rocks and damaging enemies by simply walking over them. Increases damage and decreases speed. All effects except for the Soul Heart wear off upon leaving the room.,https://bindingofisaacrebirth.gamepedia.com/The_Nail,../assets/images/83.png
We Need to Go Deeper!,84,Reusable level skip,"Creates a trapdoor to go to the next floor. If used in The Womb, it will create a trapdoor to Sheol, even if the player hasn't unlocked it.",https://bindingofisaacrebirth.gamepedia.com/We_Need_to_Go_Deeper!,../assets/images/84.png
Deck of Cards,85,Reusable Card Generator,Gives Isaac a random tarot card.,https://bindingofisaacrebirth.gamepedia.com/Deck_of_Cards,../assets/images/85.png
Monstro's Tooth,86,Summon Monstro,"Monstro jumps onto a random enemy, doing area damage. Can damage/kill the player if summoned in an room without enemies.",https://bindingofisaacrebirth.gamepedia.com/Monstro%27s_Tooth,../assets/images/86.png
Loki's Horns,87,Cross Tears,Gives a random chance for projectiles to fire in all 4 cardinal directions.,https://bindingofisaacrebirth.gamepedia.com/Loki%27s_Horns,../assets/images/87.png
Little Chubby,88,Attack Buddy,A familiar that charges forward and deals touch damage to any enemies in its path.,https://bindingofisaacrebirth.gamepedia.com/Little_Chubby,../assets/images/88.png
Spider Bite,89,Slow effect,"Adds a chance to shoot slowing tears, reducing speed of enemy movement and any projectile fired by them.",https://bindingofisaacrebirth.gamepedia.com/Spider_Bite,../assets/images/89.png
The Small Rock,90,DMG up,"Increases damage by 1, increases tears by 0.2, and decreases speed by 0.1.",https://bindingofisaacrebirth.gamepedia.com/The_Small_Rock,../assets/images/90.png
Spelunker Hat,91,See-through doors,"Reveals type of adjacent rooms, including location for secret rooms and super secret rooms.",https://bindingofisaacrebirth.gamepedia.com/Spelunker_Hat,../assets/images/91.png
Super Bandage,92,+2 hearts,Grants one Heart Container and gives 2 Soul Hearts.,https://bindingofisaacrebirth.gamepedia.com/Super_Bandage,../assets/images/92.png
The Gamekid,93,Temporary Man-Pac,"Upon use, turns the character into a into a Pac-Man-like creature for 5 seconds, granting invulnerability, inflicting fear on all enemies, and replenishing half a red heart container for every two enemies killed.",https://bindingofisaacrebirth.gamepedia.com/The_Gamekid,../assets/images/93.png
Sack of Pennies,94,Gives money,Isaac is followed by a small bag that drops a coin every 2 rooms.,https://bindingofisaacrebirth.gamepedia.com/Sack_of_Pennies,../assets/images/94.png
Robo-Baby,95,Friends 'till the bbbbzzzt,"Follows Isaac around, shooting enemies with an eye laser similar to Technology.",https://bindingofisaacrebirth.gamepedia.com/Robo-Baby,../assets/images/95.png
Little C.H.A.D.,96,Gives kisses,A familiar who will drop a half red heart every 3 rooms.,https://bindingofisaacrebirth.gamepedia.com/Little_C.H.A.D.,../assets/images/96.png
The Book of Sin,97,Reusable Item Generator,"Spawns a random pickup, pill, card, or trinket.",https://bindingofisaacrebirth.gamepedia.com/The_Book_of_Sin,../assets/images/97.png
The Relic,98,Soul generator,Isaac is followed by a small blue cross that will drop a Soul Heart every 5-6 rooms.,https://bindingofisaacrebirth.gamepedia.com/The_Relic,../assets/images/98.png
Little Gish,99,Sticky friend,"Spawns a familiar that follows Isaac around and fires slowing tears, impeding enemies' speed.",https://bindingofisaacrebirth.gamepedia.com/Little_Gish,../assets/images/99.png
Little Steven,100,Psychic friend,Spawns a familiar that follows Isaac around and fires homing tears.,https://bindingofisaacrebirth.gamepedia.com/Little_Steven,../assets/images/100.png
The Halo,101,All stats up,"Grants one Heart Container, +0.3 Damage, +0.2 Tears, +0.25 Range, +0.3 Speed, and +0.5 Tear Height.",https://bindingofisaacrebirth.gamepedia.com/The_Halo,../assets/images/101.png
Mom's Bottle of Pills,102,Reusable pill generator,"Gives Isaac a random pill, and will cause him to drop any held Q-slot item (If any). The player will only receive six different pill types in one playthrough.",https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Bottle_of_Pills,../assets/images/102.png
The Common Cold,103,Poison Damage,"Adds a chance to shoot poison tears, dealing damage over time when inflicted.",https://bindingofisaacrebirth.gamepedia.com/The_Common_Cold,../assets/images/103.png
The Parasite,104,Split Shot,Isaac's tears split in two when they hit something.,https://bindingofisaacrebirth.gamepedia.com/The_Parasite,../assets/images/104.png
The D6,105,Reroll Your Destiny,"Allows Isaac to re-roll collectible items in the current room into other items, depending on the current room's Item Pool.",https://bindingofisaacrebirth.gamepedia.com/The_D6,../assets/images/105.png
Mr. Mega,106,Blast damage,"Gives Isaac 5 bombs, and makes all dropped bombs larger, which have an increased blast radius and increased damage.",https://bindingofisaacrebirth.gamepedia.com/Mr._Mega,../assets/images/106.png
The Pinking Shears,107,Cut and Run,"Separates Isaac's head and body for the current room. Isaac's head, which now has flight, will be under the player's control, while his body will seek out enemies to attack by contact damage.",https://bindingofisaacrebirth.gamepedia.com/The_Pinking_Shears,../assets/images/107.png
The Wafer,108,Damage resistance,All sources of damage that would cause more than one half heart of damage are reduced to one half heart instead.,https://bindingofisaacrebirth.gamepedia.com/The_Wafer,../assets/images/108.png
Money = Power,109,$$$ = DMG,"Increases damage by 0.04 for every coin Isaac has, up to +3.96 damage at 99 coins.",https://bindingofisaacrebirth.gamepedia.com/Money_%3D_Power,../assets/images/109.png
Mom's Contacts,110,Freeze effect,"Adds a chance to shoot petrifying tears, which stop enemies in place and prevent them from moving or attacking. Range up.",https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Contacts,../assets/images/110.png
The Bean,111,Toot on command,"Isaac releases bad gas, poisoning any enemy in close vicinity.",https://bindingofisaacrebirth.gamepedia.com/The_Bean,../assets/images/111.png
Guardian Angel,112,Extra protection,"Spawns an orbital familiar that blocks enemy projectiles, deals contact damage to enemies, and increases the speed of all orbital familiars.",https://bindingofisaacrebirth.gamepedia.com/Guardian_Angel,../assets/images/112.png
Demon Baby,113,Auto-turret friend,Follows Isaac and automatically fires at enemies in its reach.,https://bindingofisaacrebirth.gamepedia.com/Demon_Baby,../assets/images/113.png
Mom's Knife,114,Stab stab stab,"Isaac's tears are replaced by a knife that pierces enemies, can travel through obstacles, and can hurt enemies while Isaac is holding it. Holding down the fire button before firing increases its range and power.",https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Knife,../assets/images/114.png
Ouija Board,115,Spectral tears,Grants spectral tears that travel through obstacles (but not enemies) instead of breaking on impact with them.,https://bindingofisaacrebirth.gamepedia.com/Ouija_Board,../assets/images/115.png
9 Volt,116,Quicker charge,Reduces the charge of any Activated Items by 1. Any 1 charge items instead have timed recharges.,https://bindingofisaacrebirth.gamepedia.com/9_Volt,../assets/images/116.png
Dead Bird,117,Protective buddy,Spawns a flying familiar for the current room that chases enemies whenever Isaac takes damage.,https://bindingofisaacrebirth.gamepedia.com/Dead_Bird,../assets/images/117.png
Brimstone,118,Blood laser barrage,Tears are replaced by a laser beam that pierces through all enemies and obstacles in its path and deals high damage. Can only be fired after a short charge-up period.,https://bindingofisaacrebirth.gamepedia.com/Brimstone,../assets/images/118.png
Blood Bag,119,HP up,"Grants one red heart container, restores 5 red hearts, and increases speed by 0.3.",https://bindingofisaacrebirth.gamepedia.com/Blood_Bag,../assets/images/119.png
Odd Mushroom,120,Fire rate up,"+1.7 tears, +0.3 speed, reduces damage.",https://bindingofisaacrebirth.gamepedia.com/Odd_Mushroom_(Thin),../assets/images/120.png
Odd Mushroom,121,DMG up,"Grants an empty heart container. Increases damage, range and shot height while reducing speed.",https://bindingofisaacrebirth.gamepedia.com/Odd_Mushroom_(Large),../assets/images/121.png
Whore of Babylon,122,Curse up,"Increases damage and speed whenever Isaac has half a red heart or less (one red heart for Eve), ignoring any soul or black hearts.",https://bindingofisaacrebirth.gamepedia.com/Whore_of_Babylon,../assets/images/122.png
Monster Manual,123,Temporary buddy generator,Summons a random familiar for the current room. Can summon familiars not yet unlocked.,https://bindingofisaacrebirth.gamepedia.com/Monster_Manual,../assets/images/123.png
Dead Sea Scrolls,124,It's a mystery,Triggers the effect of a random activated item from a list of possible options (not every activated item is included).,https://bindingofisaacrebirth.gamepedia.com/Dead_Sea_Scrolls,../assets/images/124.png
Bobby-Bomb,125,Homing bombs!,"Gives Isaac 5 Bombs, and causes all dropped bombs to home towards the closest enemy.",https://bindingofisaacrebirth.gamepedia.com/Bobby-Bomb,../assets/images/125.png
Razor Blade,126,Feel my pain,"Upon use, deals one heart of damage to Isaac and grants +1.2 damage for the current room.",https://bindingofisaacrebirth.gamepedia.com/Razor_Blade,../assets/images/126.png
Forget Me Now,127,I don't remember,"When activated, the level ends and is freshly regenerated with new rooms, monsters, and items. Disappears after use.",https://bindingofisaacrebirth.gamepedia.com/Forget_Me_Now,../assets/images/127.png
Forever Alone,128,Attack fly,Spawns a blue attack fly that orbits a long distance from Isaac.,https://bindingofisaacrebirth.gamepedia.com/Forever_Alone,../assets/images/128.png
Bucket of Lard,129,HP up,"Grants two empty heart containers and heals Isaac by half a heart, but decreases speed by 0.2.",https://bindingofisaacrebirth.gamepedia.com/Bucket_of_Lard,../assets/images/129.png
A Pony,130,Flight + Dash Attack,"Passively grants flight and increased speed. Upon use, Isaac charges in the direction the pony is facing, becoming invulnerable during the charge and damaging enemies.",https://bindingofisaacrebirth.gamepedia.com/A_Pony,../assets/images/130.png
Bomb Bag,131,Gives bombs,"Isaac is followed by a small bag that drops a Bomb, 1+1 Free, or a Troll Bomb every 3 rooms.",https://bindingofisaacrebirth.gamepedia.com/Bomb_Bag,../assets/images/131.png
A Lump of Coal,132,My Xmas Present,"The more distance tears travel, the more damage they will do.",https://bindingofisaacrebirth.gamepedia.com/A_Lump_of_Coal,../assets/images/132.png
Guppy's Paw,133,Soul converter,Removes one red heart container in exchange for gaining 3 Soul Hearts.,https://bindingofisaacrebirth.gamepedia.com/Guppy%27s_Paw,../assets/images/133.png
Guppy's Tail,134,Cursed?,"Increases chance of finding gold chests and normal chests, but reduces chance of finding pickups.",https://bindingofisaacrebirth.gamepedia.com/Guppy%27s_Tail,../assets/images/134.png
IV Bag,135,Portable blood bank,"Upon activation, Isaac loses a half-heart (one whole heart in The Womb onwards) for a random amount of coins, similar to the blood donation machine.",https://bindingofisaacrebirth.gamepedia.com/IV_Bag,../assets/images/135.png
Best Friend,136,Friends 'till the end,Deploys a decoy Isaac that eventually explodes with an increased blast radius.,https://bindingofisaacrebirth.gamepedia.com/Best_Friend,../assets/images/136.png
Remote Detonator,137,Remote bomb detonation,Bombs you place explode only when you use this item. Gives 5 bombs.,https://bindingofisaacrebirth.gamepedia.com/Remote_Detonator,../assets/images/137.png
Stigmata,138,DMG + HP up,"Increases damage, and adds 1 heart container.",https://bindingofisaacrebirth.gamepedia.com/Stigmata,../assets/images/138.png
Mom's Purse,139,More trinket room,Allows Isaac to hold 1 additional trinket.,https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Purse,../assets/images/139.png
Bob's Curse,140,+5 poison bombs,Gives 5 bombs and grants all bombs poison effect.,https://bindingofisaacrebirth.gamepedia.com/Bob%27s_Curse,../assets/images/140.png
Pageant Boy,141,Ultimate grand supreme,Spawns several coins around Isaac.,https://bindingofisaacrebirth.gamepedia.com/Pageant_Boy,../assets/images/141.png
Scapular,142,You have been blessed,"Once per room, when Isaac is reduced to his last half red Heart, the aura around his head temporarily vanishes and he is granted one Soul Heart.",https://bindingofisaacrebirth.gamepedia.com/Scapular,../assets/images/142.png
Speed Ball,143,Speed + shot speed up,Increases speed by 0.3 and shot speed by 20%.,https://bindingofisaacrebirth.gamepedia.com/Speed_Ball,../assets/images/143.png
Bum Friend,144,He's greedy,"A portable beggar who follows Isaac, picks up coins for himself, and occasionally drops a pickup after collecting a coin. Does not spawn collectibles.",https://bindingofisaacrebirth.gamepedia.com/Bum_Friend,../assets/images/144.png
Guppy's Head,145,Reusable fly hive,Spawns 2-4 blue flies to damage enemies.,https://bindingofisaacrebirth.gamepedia.com/Guppy%27s_Head,../assets/images/145.png
Prayer Card,146,Reusable eternity,Grants an eternal heart per use.,https://bindingofisaacrebirth.gamepedia.com/Prayer_Card,../assets/images/146.png
Notched Axe,147,Rocks don't stand a chance,"Isaac holds the axe above his head for as long as the spacebar button is held (or until he leaves the room). While holding the axe, Isaac can break any rock he touches, but cannot attack or pick up other items.",https://bindingofisaacrebirth.gamepedia.com/Notched_Axe,../assets/images/147.png
Infestation,148,They grow inside,1-3 blue flies randomly spawn every time Isaac gets hit.,https://bindingofisaacrebirth.gamepedia.com/Infestation,../assets/images/148.png
Ipecac,149,Explosive shots,Replaces tears with explosive and poisoning projectiles fired in an arc from the mouth.,https://bindingofisaacrebirth.gamepedia.com/Ipecac,../assets/images/149.png
Tough Love,150,Tooth shot,"Adds a chance to shoot a tooth instead of a tear, which deals greater damage than regular tears.",https://bindingofisaacrebirth.gamepedia.com/Tough_Love,../assets/images/150.png
The Mulligan,151,They grow inside,Tears have a 1/6 chance of spawning allied blue flies when they hit an enemy.,https://bindingofisaacrebirth.gamepedia.com/The_Mulligan,../assets/images/151.png
Technology 2,152,Laser,"Decreases damage and replaces right eye tears with a unlimited range, piercing laser which fires continuously.",https://bindingofisaacrebirth.gamepedia.com/Technology_2,../assets/images/152.png
Mutant Spider,153,Quad shot,Grants quadruple shot but decreases tears.,https://bindingofisaacrebirth.gamepedia.com/Mutant_Spider,../assets/images/153.png
Chemical Peel,154,DMG up,Tears fired from left eye do increased damage.,https://bindingofisaacrebirth.gamepedia.com/Chemical_Peel,../assets/images/154.png
The Peeper,155,Plop!,Spawns a familiar that floats slowly around the room on a zig-zag pattern similar to Boom Flies damaging enemies it passes through.,https://bindingofisaacrebirth.gamepedia.com/The_Peeper,../assets/images/155.png
Habit,156,Item Martyr,"When Isaac is hit, 1 point of an item's charge is filled.",https://bindingofisaacrebirth.gamepedia.com/Habit,../assets/images/156.png
Bloody Lust,157,RAGE!,Increases damage as Isaac receives damage. Damage increase stays for the whole floor.,https://bindingofisaacrebirth.gamepedia.com/Bloody_Lust,../assets/images/157.png
Crystal Ball,158,I see my future,Reveals the map (except the Super Secret Room) and drops a random Tarot Card or soul heart.,https://bindingofisaacrebirth.gamepedia.com/Crystal_Ball,../assets/images/158.png
Spirit of the Night,159,Scary,Grants spectral tears and flight.,https://bindingofisaacrebirth.gamepedia.com/Spirit_of_the_Night,../assets/images/159.png
Crack the Sky,160,Holy white death,"Summons multiple beams of light in random locations around the room, dealing a large amount of damage to any enemy that touches them.",https://bindingofisaacrebirth.gamepedia.com/Crack_the_Sky,../assets/images/160.png
